"service_id","date","exception_type"
"1","20230530","1"
"1","20230613","1"
"1","20230516","1"
"1","20230502","1"
"1","20230711","1"
"1","20230620","1"
"1","20230606","1"
"1","20230523","1"
"1","20230509","1"
"1","20230704","1"
"1","20230718","1"
"1","20230425","1"
"1","20230627","1"
"2","20230421","1"
"2","20230804","1"
"2","20230609","1"
"2","20230811","1"
"2","20230728","1"
"2","20230519","1"
"2","20230818","1"
"3","20230803","1"
"3","20230727","1"
"3","20230810","1"
"3","20230817","1"
"3","20230420","1"
"4","20230809","1"
"4","20230726","1"
"4","20230816","1"
"4","20230419","1"
"4","20230802","1"
"5","20230423","1"
"6","20230505","1"
"6","20230623","1"
"6","20230714","1"
"6","20230526","1"
"6","20230512","1"
"6","20230428","1"
"6","20230630","1"
"6","20230707","1"
"6","20230616","1"
"6","20230721","1"
"6","20230602","1"
"7","20230713","1"
"7","20230427","1"
"7","20230629","1"
"7","20230615","1"
"7","20230601","1"
"7","20230504","1"
"7","20230706","1"
"7","20230720","1"
"7","20230622","1"
"7","20230525","1"
"7","20230511","1"
"8","20230621","1"
"8","20230607","1"
"8","20230524","1"
"8","20230510","1"
"8","20230705","1"
"8","20230719","1"
"8","20230426","1"
"8","20230628","1"
"8","20230614","1"
"8","20230531","1"
"8","20230517","1"
"8","20230712","1"
"8","20230503","1"
"9","20230710","1"
"9","20230424","1"
"9","20230626","1"
"9","20230612","1"
"9","20230515","1"
"9","20230703","1"
"9","20230717","1"
"9","20230619","1"
"9","20230522","1"
"9","20230605","1"
"9","20230508","1"
"10","20230801","1"
"10","20230725","1"
"10","20230808","1"
"10","20230815","1"
"10","20230418","1"
"11","20230724","1"
"11","20230807","1"
"11","20230814","1"
"11","20230731","1"
"12","20230502","1"
"12","20230425","1"
"13","20230426","1"
"13","20230503","1"
"14","20230424","1"
"15","20230427","1"
"15","20230504","1"
"16","20230505","1"
"16","20230428","1"
"17","20230527","1"
"17","20230610","1"
"17","20230805","1"
"17","20230722","1"
"17","20230520","1"
"17","20230603","1"
"17","20230701","1"
"17","20230729","1"
"17","20230812","1"
"17","20230624","1"
"17","20230513","1"
"17","20230708","1"
"17","20230617","1"
"17","20230715","1"
"18","20230623","1"
"18","20230714","1"
"18","20230526","1"
"18","20230630","1"
"18","20230707","1"
"18","20230616","1"
"18","20230721","1"
"18","20230602","1"
"19","20230713","1"
"19","20230629","1"
"19","20230615","1"
"19","20230601","1"
"19","20230706","1"
"19","20230720","1"
"19","20230622","1"
"19","20230525","1"
"20","20230621","1"
"20","20230607","1"
"20","20230524","1"
"20","20230705","1"
"20","20230719","1"
"20","20230628","1"
"20","20230614","1"
"20","20230531","1"
"20","20230517","1"
"20","20230712","1"
"21","20230422","1"
"22","20230710","1"
"22","20230626","1"
"22","20230612","1"
"22","20230515","1"
"22","20230703","1"
"22","20230717","1"
"22","20230619","1"
"22","20230522","1"
"22","20230605","1"
"23","20230505","1"
"23","20230623","1"
"23","20230714","1"
"23","20230526","1"
"23","20230512","1"
"23","20230630","1"
"23","20230707","1"
"23","20230616","1"
"23","20230721","1"
"23","20230602","1"
"24","20230713","1"
"24","20230629","1"
"24","20230615","1"
"24","20230601","1"
"24","20230504","1"
"24","20230706","1"
"24","20230720","1"
"24","20230622","1"
"24","20230525","1"
"24","20230511","1"
"25","20230530","1"
"25","20230613","1"
"25","20230516","1"
"25","20230711","1"
"25","20230620","1"
"25","20230606","1"
"25","20230523","1"
"25","20230704","1"
"25","20230718","1"
"25","20230627","1"
"26","20230804","1"
"26","20230609","1"
"26","20230811","1"
"26","20230728","1"
"26","20230519","1"
"26","20230818","1"
"27","20230716","1"
"27","20230604","1"
"27","20230521","1"
"27","20230806","1"
"27","20230723","1"
"27","20230625","1"
"27","20230514","1"
"27","20230608","1"
